,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
139,48067,2018,1398.7272727272727,33.0,4628400.0,953000.0,1055.5454545454545,33
140,48067,2019,1305.0689655172414,29.0,4937000.0,1068000.0,967.6896551724138,29
141,48067,2020,1390.0,31.0,5297000.0,1168000.0,1014.1935483870968,31
142,48067,2021,2288.25,4.0,717900.0,30000.0,1737.75,4
143,48069,2018,639.8181818181819,11.0,664800.0,150000.0,370.54545454545456,11
144,48069,2019,632.5555555555555,9.0,599500.0,140000.0,359.22222222222223,9
145,48069,2020,663.4444444444445,9.0,599500.0,140000.0,378.8888888888889,9
146,48069,2021,737.0,1.0,35000.0,10000.0,561.0,1
147,48071,2018,583.3243861839368,4806.0,1064160300.0,427868900.0,441.98106533499794,4806
148,48071,2019,619.5798286604362,5136.0,1156757800.0,467128400.0,474.72507788161994,5136
149,48071,2020,661.4333919156414,5690.0,1298517400.0,523857200.0,498.10702987697715,5690
150,48071,2021,743.3137254901961,867.0,195616600.0,79532500.0,558.4071510957324,867
151,48073,2018,1068.764423076923,208.0,32404700.0,7218700.0,794.1153846153846,208
152,48073,2019,1180.442528735632,174.0,28598800.0,6966600.0,897.2873563218391,174
153,48073,2020,1354.426966292135,178.0,30411700.0,7539800.0,1032.8988764044943,178
154,48073,2021,1184.3181818181818,44.0,7935600.0,1470700.0,869.5,44
155,48075,2018,869.0,1.0,35000.0,10000.0,495.0,1
156,48075,2019,913.0,1.0,35000.0,10000.0,533.0,1
157,48075,2020,962.0,1.0,35000.0,10000.0,561.0,1
158,48077,2018,1201.1818181818182,55.0,6872700.0,1856200.0,944.5818181818182,55
159,48077,2019,1208.2692307692307,52.0,6767300.0,1824100.0,956.0769230769231,52
160,48077,2020,1221.3461538461538,52.0,7280000.0,1618300.0,951.5769230769231,52
161,48077,2021,2032.6,15.0,2515500.0,454000.0,1624.8666666666666,15
162,48081,2018,516.5,2.0,185000.0,70000.0,395.0,2
163,48081,2019,688.0,1.0,35000.0,10000.0,533.0,1
164,48081,2020,1112.0,2.0,209000.0,10000.0,879.0,2
165,48083,2018,1049.0,16.0,1062900.0,338300.0,738.25,16
166,48083,2019,1132.4666666666667,15.0,1059800.0,331000.0,816.6666666666666,15
167,48083,2020,1122.0,18.0,1547600.0,521000.0,799.5555555555555,18
168,48083,2021,1496.5,2.0,75000.0,10000.0,1109.5,2
169,48085,2018,600.1680834621329,2627.0,599923300.0,213356300.0,442.4598145285935,2588
170,48085,2019,642.4200323101777,2508.0,576790700.0,208731900.0,483.7366720516963,2476
171,48085,2020,660.7333619579218,2361.0,546674500.0,192638700.0,490.33490768570203,2329
172,48085,2021,759.9901380670611,527.0,124668900.0,43388300.0,565.0808678500986,507
173,48087,2018,1160.7826086956522,23.0,1701500.0,50100.0,910.0869565217391,23
174,48087,2019,1527.5333333333333,15.0,1293700.0,75100.0,1223.8666666666666,15
175,48087,2020,1610.764705882353,17.0,1456800.0,100200.0,1276.6470588235295,17
176,48087,2021,1305.1666666666667,6.0,449300.0,75000.0,1042.5,6
177,48089,2018,952.4935400516796,387.0,70951200.0,24739800.0,742.4599483204134,387
178,48089,2019,918.08,400.0,74021600.0,26733400.0,708.68,400
179,48089,2020,963.772378516624,391.0,76878600.0,27240300.0,721.6649616368286,391
180,48089,2021,1668.8727272727272,110.0,21212100.0,7838400.0,1309.6181818181817,110
181,48091,2018,830.82494365139,2959.0,620891000.0,199357400.0,599.2460555972953,2662
182,48091,2019,882.1252918287938,2845.0,608546000.0,195424100.0,643.6879377431907,2570
183,48091,2020,933.9208972845337,2854.0,619903100.0,197574100.0,676.219598583235,2541
184,48091,2021,1123.739837398374,833.0,169399800.0,43297400.0,798.4504065040651,615
185,48093,2018,855.275,40.0,4780200.0,1161500.0,639.9,40
186,48093,2019,912.6904761904761,42.0,6029400.0,1467900.0,691.3571428571429,42
187,48093,2020,950.2307692307693,39.0,5253800.0,1282200.0,705.6153846153846,39
188,48093,2021,1046.6666666666667,6.0,1007700.0,424200.0,767.5,6
189,48097,2018,1248.6825938566553,293.0,54120800.0,13865700.0,938.8737201365187,293
190,48097,2019,1420.2741312741314,259.0,48742100.0,13042700.0,1089.5096525096526,259
191,48097,2020,1408.759336099585,241.0,46363000.0,12577700.0,1074.8298755186722,241
192,48097,2021,1380.8148148148148,54.0,10646600.0,2387400.0,1046.6851851851852,54
193,48099,2018,620.5238095238095,168.0,28610500.0,10422900.0,431.8452380952381,168
194,48099,2019,718.9627329192547,161.0,28873600.0,10052500.0,509.1801242236025,161
195,48099,2020,788.1156462585034,147.0,27543100.0,9290500.0,565.8095238095239,147
196,48099,2021,951.0,49.0,8775900.0,3062300.0,673.8571428571429,49
197,48105,2018,1416.5217391304348,46.0,5446500.0,730900.0,1092.3478260869565,46
198,48105,2019,1592.3061224489795,49.0,6025100.0,805000.0,1262.530612244898,49
199,48105,2020,1547.7857142857142,42.0,5212700.0,801700.0,1212.7619047619048,42
200,48105,2021,1380.4545454545455,22.0,2333500.0,381500.0,1065.0,22
201,48107,2018,2524.8,5.0,669500.0,0.0,2052.0,5
202,48107,2019,1308.25,4.0,437800.0,0.0,1023.25,4
203,48107,2020,1279.0,6.0,636800.0,0.0,991.5,6
204,48107,2021,949.0,1.0,85000.0,0.0,741.0,1
205,48109,2018,2397.4444444444443,9.0,2054000.0,541000.0,1893.888888888889,9
206,48109,2019,2474.222222222222,9.0,1959300.0,503100.0,1958.111111111111,9
207,48109,2020,3043.6428571428573,14.0,3303300.0,302000.0,2371.8571428571427,14
